cluster_5_nome_marco,annotazioni_parsate,count
SonoImmorali,considerano donne,2
SonoImmorali,costrette velo,3
SonoImmorali,danneggiano ambiente,3
SonoImmorali,deturpano città,4
SonoImmorali,disprezzano donne,3
SonoImmorali,disturbano,2
SonoImmorali,drogano,3
SonoImmorali,fanno figli,2
SonoImmorali,frugano in cassonetti,3
SonoImmorali,hanno problemi,3
SonoImmorali,inquinano,12
SonoImmorali,maltrattano bambini,10
SonoImmorali,maltrattano deboli,32
SonoImmorali,maltrattano donne,4
SonoImmorali,maltrattano italiani,2
SonoImmorali,maltrattano minori,2
SonoImmorali,migranti senza,2
SonoImmorali,non hanno casa,5
SonoImmorali,non hanno competenze,2
SonoImmorali,non hanno cultura,4
SonoImmorali,non hanno cura,5
SonoImmorali,non parlano italiano,2
SonoImmorali,non rispettano donne,2
SonoImmorali,non sanno figli,25
SonoImmorali,portano degrado,13
SonoImmorali,portano malattie,39
SonoImmorali,prostituiscono,2
SonoImmorali,religione a pedofilia,4
SonoImmorali,rovinando italia,2
SonoImmorali,rovinano ambiente,5
SonoImmorali,rovinano italia,19
SonoImmorali,rovistano in spazzatura,3
SonoImmorali,sfruttano deboli,2
SonoImmorali,sfruttano donne,2
SonoImmorali,sono abusivi,4
SonoImmorali,sono animali,48
SonoImmorali,sono arretrati,6
SonoImmorali,sono codardi,3
SonoImmorali,sono dissoluti,2
SonoImmorali,sono feccia,27
SonoImmorali,sono ignoranti,13
SonoImmorali,sono immorali,2
SonoImmorali,sono incivili,16
SonoImmorali,sono incivili sono,3
SonoImmorali,sono indegni,2
SonoImmorali,sono inferiori,21
SonoImmorali,sono mafiosi,4
SonoImmorali,sono misogini,7
SonoImmorali,sono padroni,5
SonoImmorali,sono pedofili,10
SonoImmorali,sono portatori,2
SonoImmorali,sono prepotenti,5
SonoImmorali,sono primitivi,5
SonoImmorali,sono retrogradi,2
SonoImmorali,sono selvaggi,31
SonoImmorali,sono sottomesse,2
SonoImmorali,sono sporchi,31
SonoImmorali,sono stupidi,2
SonoImmorali,sono stupratori,33
SonoImmorali,sono succubi,2
SonoImmorali,sono tribali,2
SonoImmorali,sono vandali,4
SonoImmorali,sono viziosi,3
SonoImmorali,sottomette donna,2
SonoImmorali,stuprano,33
SonoImmorali,stuprano donne,2
SonoImmorali,trattano donne,3
SonoImmorali,vivono in degrado,2
SonoImmorali,è inferiore,3
SonoIncompatibiliConNoi,conquistare europa,2
SonoIncompatibiliConNoi,conquistare italia,6
SonoIncompatibiliConNoi,conquistare occidente,2
SonoIncompatibiliConNoi,convertire italia,2
SonoIncompatibiliConNoi,convertire stati,5
SonoIncompatibiliConNoi,imporre dittatura,2
SonoIncompatibiliConNoi,incita,2
SonoIncompatibiliConNoi,invadendo europa,4
SonoIncompatibiliConNoi,invadendo italia,50
SonoIncompatibiliConNoi,invadere europa,5
SonoIncompatibiliConNoi,invadere italia,32
SonoIncompatibiliConNoi,invadono italia,5
SonoIncompatibiliConNoi,invaso italia,10
SonoIncompatibiliConNoi,limita libertà,8
SonoIncompatibiliConNoi,meritano pene,2
SonoIncompatibiliConNoi,minacciano cultura,5
SonoIncompatibiliConNoi,non benvoluti,3
SonoIncompatibiliConNoi,non cittadini,2
SonoIncompatibiliConNoi,non democratici,2
SonoIncompatibiliConNoi,non integrar,9
SonoIncompatibiliConNoi,non integrare,5
SonoIncompatibiliConNoi,non italiani,6
SonoIncompatibiliConNoi,non rispettano autorità,8
SonoIncompatibiliConNoi,non rispettano famiglia,2
SonoIncompatibiliConNoi,non vogliono democrazia,2
SonoIncompatibiliConNoi,odiano italiani,4
SonoIncompatibiliConNoi,portano insicurezza,2
SonoIncompatibiliConNoi,preferiscono immigrati,2
SonoIncompatibiliConNoi,religione a misoginia,2
SonoIncompatibiliConNoi,religione a violenza,35
SonoIncompatibiliConNoi,religione a violenza contro,4
SonoIncompatibiliConNoi,sono aggressivi,3
SonoIncompatibiliConNoi,sono assassini,15
SonoIncompatibiliConNoi,sono autoritari,10
SonoIncompatibiliConNoi,sono estremisti,10
SonoIncompatibiliConNoi,sono fanatici,3
SonoIncompatibiliConNoi,sono fondamentalisti,2
SonoIncompatibiliConNoi,sono incompatibili,23
SonoIncompatibiliConNoi,sono integralisti,14
SonoIncompatibiliConNoi,sono intolleranti,17
SonoIncompatibiliConNoi,sono invasori,72
SonoIncompatibiliConNoi,sono invasori sono,2
SonoIncompatibiliConNoi,sono minaccia,39
SonoIncompatibiliConNoi,sono pericolo,21
SonoIncompatibiliConNoi,sono pericolosi,52
SonoIncompatibiliConNoi,sono terroristi,85
SonoIncompatibiliConNoi,sono violente,4
SonoIncompatibiliConNoi,sono violenti,111
SonoIncompatibiliConNoi,sono vittime,8
SonoIncompatibiliConNoi,sostituiscono italiani,2
SonoIncompatibiliConNoi,va contro valori di,17
SonoIncompatibiliConNoi,vanno affrontati,9
SonoIncompatibiliConNoi,vanno cacciati,20
SonoIncompatibiliConNoi,vanno contrastati,13
SonoIncompatibiliConNoi,vanno contro valori di,3
SonoIncompatibiliConNoi,vanno puniti,4
SonoIncompatibiliConNoi,vogliono convertire,4
SonoIncompatibiliConNoi,è minaccia,25
SonoIncompatibiliConNoi,è pericolo,6
SonoIncompatibiliConNoi,è religione,19
SonoIncompatibiliConNoi,è sicura,2
SonoIncompatibiliConNoi,è valori,8
SonoParassiti,aiuta immigrati,5
SonoParassiti,aiuta rom,2
SonoParassiti,aiutano rom,3
SonoParassiti,avvantaggia migranti,9
SonoParassiti,avvantaggia rom,9
SonoParassiti,avvantaggia stranieri,2
SonoParassiti,coprono crimini,2
SonoParassiti,difende migranti,3
SonoParassiti,difende mussulmani,3
SonoParassiti,difende rom,6
SonoParassiti,difendono migranti,5
SonoParassiti,eludono fisco,3
SonoParassiti,favorisce immigrazione,21
SonoParassiti,favorisce mussulmani,3
SonoParassiti,favoriscono immigrazione,9
SonoParassiti,guadagna da business di,2
SonoParassiti,hanno diritti,27
SonoParassiti,incentivano migranti,2
SonoParassiti,lucra su migranti,3
SonoParassiti,lucrano su immigrati,3
SonoParassiti,lucrano su migranti,12
SonoParassiti,mantengono immigrati,5
SonoParassiti,mantengono migranti,3
SonoParassiti,mantengono nomadi,2
SonoParassiti,mantengono rom,3
SonoParassiti,mantengono stranieri,2
SonoParassiti,migranti,4
SonoParassiti,non beneficio,5
SonoParassiti,non hanno diritti,6
SonoParassiti,non lavorano,8
SonoParassiti,non lavorare,24
SonoParassiti,non meritano,3
SonoParassiti,non meritano aiuto,5
SonoParassiti,non prendono cura,2
SonoParassiti,non ricchezza,2
SonoParassiti,non utili,3
SonoParassiti,preferisce immigrati,2
SonoParassiti,preferisce migranti,2
SonoParassiti,pretendono aiuto,2
SonoParassiti,proteggono migranti,3
SonoParassiti,proteggono stranieri,2
SonoParassiti,ricevono trattamento,3
SonoParassiti,rovinato economia,2
SonoParassiti,rubano lavoro,6
SonoParassiti,sfrutta immigrati,2
SonoParassiti,sono approfittatori,31
SonoParassiti,sono avvantaggiati,9
SonoParassiti,sono benestanti,9
SonoParassiti,sono coperti,2
SonoParassiti,sono fannulloni,10
SonoParassiti,sono fardello,53
SonoParassiti,sono impuniti,29
SonoParassiti,sono ingrati,11
SonoParassiti,sono mantenuti,9
SonoParassiti,sono mendicanti,9
SonoParassiti,sono nomadi,52
SonoParassiti,sono nullafacenti,3
SonoParassiti,sono parassiti,153
SonoParassiti,sono peso,22
SonoParassiti,sono pigri,14
SonoParassiti,sono privilegiati,18
SonoParassiti,sono problema,2
SonoParassiti,sono protetti,5
SonoParassiti,sono sinistra,6
SonoParassiti,sono trattati,55
SonoParassiti,sono tutelati,33
SonoParassiti,sono viziati,3
SonoParassiti,stanno da parte di,2
SonoParassiti,tolgono case,15
SonoParassiti,tolgono soldi,25
SonoParassiti,tutela crimini,6
SonoParassiti,tutela migranti,7
SonoParassiti,tutela musulmani,4
SonoParassiti,tutela rom,6
SonoParassiti,tutela stranieri,6
SonoParassiti,tutelano stranieri,2
SonoParassiti,vivono a spalle di,3
SonoParassiti,è business,34
SonoProblema,immigrati,2
SonoProblema,non hanno diritto,3
SonoProblema,non necessaria,2
SonoProblema,non profughi,47
SonoProblema,sono africani,5
SonoProblema,sono categoria,66
SonoProblema,sono clandestini,20
SonoProblema,sono controllo,11
SonoProblema,sono finti,13
SonoProblema,sono illegali,2
SonoProblema,sono irregolari,53
SonoProblema,sono islamici,2
SonoProblema,sono maschi,4
SonoProblema,sono migranti,2
SonoProblema,sono mussulmani,22
SonoProblema,sono musulmani,14
SonoProblema,sono persone,2
SonoProblema,sono troppi,12
SonoProblema,sono zingari,4
SonoProblema,è controllo,3
SonoProblema,è illegale,3
SonoProblema,è incontrollata,6
SonoSubdoli,ingannano italiani,43
SonoSubdoli,non rispettano legge,2
SonoSubdoli,non rispettano leggi,6
SonoSubdoli,non rispettano regole,5
SonoSubdoli,sono bugiardi,3
SonoSubdoli,sono criminali,168
SonoSubdoli,sono delinquenti,91
SonoSubdoli,sono falsi,4
SonoSubdoli,sono furbi,3
SonoSubdoli,sono ladri,202
SonoSubdoli,sono spacciatori,9
SonoSubdoli,sono truffatori,68
SonoSubdoli,spacciano,29
SonoSubdoli,è colpa,2
